gene_id,CT_11241,CT_11263,CT_11265,CT_11266,CT_11288,CT_11294,CT_11311,CT_11314,CT_11317,CT_11319,CT_11320,CT_11323
XLOC_000001,0,4.12,0.95,4.01,0,2.94,0.06,0.97,0.02,1.92,1.29,0.01
XLOC_000002,38.31,4.67,34.54,45.11,61.49,12.32,25.23,18.3,16.66,24.53,43.7,62.71
XLOC_000003,17.19,15.77,31.97,17.05,11.17,6.64,16.66,7.67,15.12,22,19.1,8.45
XLOC_000004,38.92,55.47,68.47,53.14,34.59,36.61,46.4,49.6,53.61,46.54,96.27,29.41
XLOC_000005,74.33,41.97,48.06,62.14,46.78,54.44,29.58,55.64,23.19,48.68,45.94,36.43
XLOC_000006,45.28,43.69,43.46,40.09,24.18,26.11,31.57,42.01,25.91,32.43,33,16.81
XLOC_000007,0,0,0,2,1.6,0,0.01,0,0,0,0.01,0
XLOC_000008,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000009,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000010,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000011,225.43,185.53,313.53,160.51,199.22,214.91,261.69,234.58,184.1,239.2,180.95,253.73
XLOC_000012,0,2.06,0.97,2,0,0,0.02,0,0.01,0.96,0.02,1.03
XLOC_000013,1.95,0,0,0,0,0.98,0.02,0,0.01,0,0.02,0
XLOC_000014,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000015,0.95,1.05,0.96,0,1.43,0,2.36,0.97,0.01,0,0.05,1.04
XLOC_000016,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000017,0,0,0,1,0,0.97,0.02,0.98,0.01,0,0.02,0
XLOC_000018,1.95,0,0.97,0,0,0,0.01,0.98,0,0,0.01,0
XLOC_000019,0,3.1,1.93,0,1.35,0.96,0.07,0.97,0.02,0.94,3.54,0.01
XLOC_000020,3475.07,3896.16,10609.76,4134.49,3610.7,19490.04,9385.03,8274.06,9915.09,3925.21,6083.35,33852.19
XLOC_000021,0,0.03,0.93,1,0,2.91,0.15,2.92,1.13,1.88,0.15,0.02
XLOC_000022,3145.34,271.51,1471.84,400.34,442.19,537.45,633.87,850.77,897.79,386.03,618.38,782.46
XLOC_000023,4.29,13.02,33.53,13.06,10.57,12.3,25.38,20.25,20.88,11.91,11.49,22.02
XLOC_000024,11943.55,9775.37,34779.31,13780.4,15109.2,12723.81,14647.06,24971.94,25698.19,12143.31,18449.04,25773.8
XLOC_000025,0,0,0,0,1.62,0,0.01,0,0,0,0.01,0
XLOC_000026,5.66,12.5,12.54,13.03,9.55,11.67,14.56,6.78,10.69,7.58,11.3,8.32
XLOC_000027,0.94,0.02,0.94,2.01,1.29,2.93,5.76,4.91,1.1,0,0.09,2.07
XLOC_000028,160.89,194.91,189.97,215.6,202.77,198.09,134.75,234.49,180.15,181.54,234.24,223.28
XLOC_000029,2329.23,2202.35,1458.46,1959.47,1686.89,2261.73,585.71,1768.14,1531.17,2262.22,1602.8,1522.15
XLOC_000030,0,0.02,1.91,2.01,0.42,1.93,0.12,0,0.04,2.87,8.1,0.02
